precision,recall,f_measure,ref_count,pred_count,raw_pitch_accuracy,raw_chroma_accuracy,overall_accuracy,voicing_recall,voicing_false_alarm,file,output_midi,ground_truth
0.05128205128205128,0.06060606060606061,0.05555555555555555,33,39,0.6197183098591549,0.6197183098591549,0.6048034934497817,0.903755868544601,0.59375,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0010.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0010_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0010.musicxml
0.018518518518518517,0.02127659574468085,0.0198019801980198,47,54,0.41098169717138106,0.41098169717138106,0.37198795180722893,0.9118136439267887,1.0,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0004.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0004_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0004.musicxml
0.07407407407407407,0.1,0.0851063829787234,20,27,0.6091954022988506,0.6091954022988506,0.6091954022988506,0.9425287356321839,0.0,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0005.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0005_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0005.musicxml
0.030303030303030304,0.030303030303030304,0.030303030303030304,33,33,0.5819327731092437,0.5819327731092437,0.5670731707317073,0.957983193277311,0.875,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0011.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0011_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0011.musicxml
0.1111111111111111,0.125,0.11764705882352941,16,18,0.4431818181818182,0.4431818181818182,0.4431818181818182,0.9545454545454546,0.0,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0007.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0007_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0007.musicxml
0.0,0.0,0.0,18,26,0.6911764705882353,0.6911764705882353,0.617363344051447,0.8639705882352942,0.8974358974358975,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0013.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0013_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0013.musicxml
0.0967741935483871,0.0967741935483871,0.0967741935483871,31,31,0.5397727272727273,0.5397727272727273,0.5382653061224489,0.9375,0.475,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0012.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0012_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0012.musicxml
0.0,0.0,0.0,18,18,0.5331230283911672,0.5331230283911672,0.5075075075075075,0.8738170347003155,1.0,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0006.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0006_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0006.musicxml
0.02,0.03125,0.024390243902439022,32,50,0.2882205513784461,0.2882205513784461,0.26436781609195403,0.8421052631578947,1.0,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0002.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0002_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0002.musicxml
0.06666666666666667,0.0625,0.06451612903225808,32,30,0.6432926829268293,0.6432926829268293,0.5883905013192612,0.926829268292683,0.7647058823529411,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0003.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0003_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0003.musicxml
